# stan_version_major = 2
# stan_version_minor = 8
# stan_version_patch = 0
# model = ukeu_3_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = stan/data.R
# init = 2 (Default)
# random
#   seed = 2252998156
# output
#   file = stan/ukeu_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,grand_mu,grand_sigma,kappa_pollster.1,kappa_pollster.2,kappa_pollster.3,kappa_pollster.4,kappa_pollster.5,kappa_pollster.6,kappa_pollster.7,kappa_pollster.8,kappa_pollster.9,kappa_pollster.10,kappa_pollster.11,kappa_pollster.12,kappa_pollster.13,kappa_pollster.14,kappa_pollster.15,kappa_teleph
# Adaptation terminated
# Step size = 0.0395551
# Diagonal elements of inverse mass matrix:
# 0.156827, 4.09737e-05, 0.170366, 0.163559, 0.157127, 0.161299, 0.202636, 0.16611, 0.156285, 0.208777, 0.185146, 0.167696, 0.169172, 0.159134, 0.168103, 0.160686, 0.167572, 0.00661041
-182400,0.702663,0.0395551,5,31,0,-1.03858,5.56344,0.726578,1.01891,1.00937,0.858626,0.967687,1.57641,0.981381,0.692413,0.638274,1.0251,1.31806,1.03367,1.25934,1.06853,1.20421,0.374277
-182400,0.958273,0.0395551,7,95,0,-1.13083,5.53067,0.203268,1.19026,1.1134,1.00769,1.70578,1.32071,1.16194,1.00072,1.05158,1.31237,1.68637,1.13233,1.56739,1.25923,1.50788,0.206469
-182397,0.916597,0.0395551,7,127,0,-1.03338,5.49565,0.680287,0.997693,1.0213,0.902919,1.2829,1.53474,1.06533,0.870194,0.678022,1.08555,1.49771,1.06722,1.39277,1.20801,1.31411,0.233385
-182399,0.906504,0.0395551,6,63,0,-1.19857,5.56265,0.327972,1.22671,1.17434,1.07684,1.28254,1.42932,1.18664,0.944324,1.051,1.10304,1.41298,1.17955,1.34174,1.38968,1.30457,0.444681
-182403,0.809408,0.0395551,7,127,0,-1.23878,5.5076,0.344406,1.30641,1.24135,1.0668,1.49756,1.4692,1.18317,0.784264,1.09909,1.39868,1.75602,1.30737,1.65979,1.55178,1.46584,0.251611
-182401,0.921992,0.0395551,7,127,0,-1.05508,5.54778,0.458287,1.15286,1.00258,0.901071,1.19372,1.60336,1.09673,0.415869,0.992472,1.14059,1.35788,1.02128,1.43249,1.0763,1.2591,0.360805
-182399,0.971387,0.0395551,4,15,0,-1.11178,5.53386,0.641527,0.90141,1.04465,0.999443,1.27635,1.40691,1.1195,0.435669,0.84221,1.10838,1.39442,1.16025,1.34762,1.29291,1.22801,0.324441
-182399,1,0.0395551,7,79,0,-1.04663,5.54102,0.525366,1.11572,0.954395,0.887683,1.24932,1.50112,1.02857,0.415403,1.04167,1.18611,1.44435,1.02056,1.45602,1.12513,1.18476,0.319904
-182397,0.95993,0.0395551,5,31,0,-1.0693,5.53668,0.370249,0.989695,1.01772,0.937335,1.11369,1.65604,1.00949,0.594548,0.890048,1.18656,1.50549,1.10492,1.33502,1.18796,1.17387,0.309052
-182397,0.864868,0.0395551,5,31,0,-1.04208,5.53349,0.31712,0.993137,0.982151,0.934787,1.14404,1.55898,0.959314,0.86109,0.653129,1.10717,1.25103,1.06321,1.37602,1.20789,1.22882,0.299151
