# stan_version_major = 2
# stan_version_minor = 8
# stan_version_patch = 0
# model = ukeu_1_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = stan/data.R
# init = 2 (Default)
# random
#   seed = 2174266419
# output
#   file = stan/ukeu_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha.1,alpha.2,alpha.3
# Adaptation terminated
# Step size = 0.209009
# Diagonal elements of inverse mass matrix:
# 0.00819347, 0.00832727, 0.00910791
350.785,0.953972,0.209009,5,19,0,28.1403,27.078,8.26519
350.724,0.998045,0.209009,4,15,0,28.1513,27.1203,8.24256
350.672,0.816704,0.209009,5,19,0,21.1559,19.921,6.4588
351.33,0.981842,0.209009,4,11,0,22.3644,21.4965,6.47973
351.332,0.922693,0.209009,2,3,0,22.9341,21.6366,6.55099
351.103,0.856955,0.209009,3,7,0,22.3834,21.98,6.61023
350.782,0.803044,0.209009,2,3,0,24.2311,22.5203,6.76367
352.011,1,0.209009,2,3,0,23.2559,22.2684,7.00803
350.616,0.727383,0.209009,5,19,0,28.2502,26.3889,8.37014
351.045,0.998626,0.209009,3,5,0,27.2889,26.3465,8.25526
350.726,0.951334,0.209009,3,7,0,27.3338,25.4393,8.21698
350.855,0.937935,0.209009,3,5,0,27.6386,26.2143,7.86942
351.07,0.861801,0.209009,5,23,0,23.8627,22.091,6.75766
351.334,1,0.209009,4,11,0,23.4701,21.9591,6.67941
350.765,0.821556,0.209009,2,3,0,23.5011,21.4723,6.78514
351.12,0.869034,0.209009,3,7,0,24.3934,22.3799,7.03723
351.906,1,0.209009,3,7,0,23.3784,22.6811,6.99882
351.922,0.950257,0.209009,2,3,0,23.7964,22.3054,7.0016
351.598,0.880854,0.209009,2,3,0,22.6042,22.0088,6.88755
351.256,0.940273,0.209009,3,7,0,23.9313,22.4042,6.76336
351.265,0.990001,0.209009,1,1,0,23.9642,22.3728,6.78206
350.169,0.951567,0.209009,2,3,0,23.6002,23.0844,6.65772
350.789,1,0.209009,1,1,0,23.5068,22.8959,6.69795
