lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha.1,alpha.2,alpha.3,beta_teleph.1,beta_teleph.2,beta_teleph.3,beta_pollster.1.1,beta_pollster.2.1,beta_pollster.3.1,beta_pollster.4.1,beta_pollster.5.1,beta_pollster.6.1,beta_pollster.7.1,beta_pollster.8.1,beta_pollster.9.1,beta_pollster.10.1,beta_pollster.11.1,beta_pollster.12.1,beta_pollster.13.1,beta_pollster.14.1,beta_pollster.15.1,beta_pollster.1.2,beta_pollster.2.2,beta_pollster.3.2,beta_pollster.4.2,beta_pollster.5.2,beta_pollster.6.2,beta_pollster.7.2,beta_pollster.8.2,beta_pollster.9.2,beta_pollster.10.2,beta_pollster.11.2,beta_pollster.12.2,beta_pollster.13.2,beta_pollster.14.2,beta_pollster.15.2,beta_pollster.1.3,beta_pollster.2.3,beta_pollster.3.3,beta_pollster.4.3,beta_pollster.5.3,beta_pollster.6.3,beta_pollster.7.3,beta_pollster.8.3,beta_pollster.9.3,beta_pollster.10.3,beta_pollster.11.3,beta_pollster.12.3,beta_pollster.13.3,beta_pollster.14.3,beta_pollster.15.3
# Adaptation terminated
# Step size = 0.0847993
# Diagonal elements of inverse mass matrix:
# 0.0164925, 0.0155722, 0.0184936, 0.0191897, 0.0186961, 0.0216238, 0.0193899, 0.022511, 0.0299315, 0.0151438, 0.0158012, 0.0176628, 0.0123726, 0.0133121, 0.014207, 0.0165363, 0.0149791, 0.0175468, 0.0268649, 0.0258168, 0.0248226, 0.0257524, 0.0209824, 0.0307575, 0.0141648, 0.0143169, 0.0152685, 0.0247033, 0.0245835, 0.0335831, 0.022352, 0.0223039, 0.0238628, 0.014571, 0.0171436, 0.0175847, 0.0151283, 0.0169377, 0.0179379, 0.0152245, 0.0165118, 0.0184811, 0.0176294, 0.0171105, 0.0192298, 0.0188337, 0.0203351, 0.0210394, 0.0180352, 0.0203927, 0.0173731
406.58,0.976171,0.0847993,6,63,0,53.1057,59.4795,18.225,1.14615,0.999333,0.768042,0.690674,1.25395,1.02387,0.750568,1.08141,1.19183,0.872704,1.04225,1.04985,0.837003,1.26247,1.29156,0.986865,0.978245,1.25287,1.04034,1.03561,0.909229,0.654537,0.856199,1.07341,0.813166,1.20837,1.09786,0.650626,0.974349,1.20064,0.844765,0.937634,1.14977,1.18535,1.23869,0.924272,1.22562,0.587298,1.16327,1.01497,1.33902,0.901887,1.25152,0.850969,1.44053,0.844595,0.950621,0.640315
403.671,0.976542,0.0847993,6,63,0,64.5978,54.96,17.7663,0.808959,0.741398,0.623357,0.815775,0.826693,0.935158,0.77461,1.2836,0.842495,0.941132,0.819362,0.863733,0.8806,1.11601,0.822747,1.32596,0.794235,1.32696,1.30215,0.961287,1.15451,0.867946,1.25239,1.01397,1.05056,1.01155,1.15746,1.02627,1.05664,0.937005,1.38085,0.998356,1.49765,1.23144,0.9781,1.09636,1.38322,0.891816,0.617223,1.2681,0.682558,1.06673,1.42077,0.777864,0.960234,1.13328,0.882559,0.66528
403.105,0.608131,0.0847993,6,63,0,63.5918,56.6674,18.318,0.826251,0.786037,0.665841,0.83376,0.908816,0.95091,0.643531,1.25368,0.842607,1.03703,0.888844,0.831243,0.946166,1.13162,0.820489,1.28354,1.04161,1.3183,1.4175,0.882059,1.04976,0.811659,1.27695,0.998529,1.227,0.996571,1.1078,0.884365,1.04842,0.858361,1.32754,0.9829,1.40594,1.54646,1.0632,0.990234,1.4255,0.653734,0.802673,1.34039,0.858832,1.06191,1.33815,0.79125,1.11657,1.25345,0.90203,0.676163
397.135,0.925167,0.0847993,6,63,0,66.2996,75.3583,18.8519,0.90126,0.766836,0.662662,1.22905,0.790503,0.945248,0.941605,1.49719,1.23999,1.16157,1.27071,1.01502,0.740368,1.08929,0.986084,1.31622,0.869587,1.53701,1.00211,0.800431,0.833644,0.849436,1.30631,0.820753,1.05072,1.06934,0.909157,0.697318,0.833105,0.902789,1.14249,0.78788,1.39237,1.11794,1.04446,1.108,1.69984,0.738141,1.13201,1.59462,1.60448,0.839198,1.41935,0.795779,1.00238,1.30245,1.124,0.765109
404.23,0.802776,0.0847993,6,63,0,57.259,64.107,17.174,1.05964,0.947261,0.774327,1.00944,0.860424,0.939317,0.946404,1.42363,0.922159,1.25745,1.04955,1.21995,0.906095,1.2411,1.00551,1.07312,0.902389,1.46764,0.923894,0.647295,0.875938,0.837625,1.24916,0.749478,1.17381,1.21433,1.14414,0.787987,1.0575,0.821576,0.85823,0.763807,1.34783,1.12285,1.06991,0.96836,1.91926,0.878846,1.03433,1.57472,1.14929,1.06666,1.43743,0.936396,1.14822,1.03408,1.01735,0.706921
409.511,0.961816,0.0847993,6,63,0,47.2644,49.5462,14.2329,1.07224,1.04318,0.78172,0.689524,1.06144,1.01439,0.711844,1.09349,0.898312,0.855772,1.04849,1.03312,1.09825,1.29933,0.910917,1.02045,1.01211,1.45797,0.799765,0.914362,0.94452,0.76455,0.965963,0.837145,0.859705,0.957166,0.992603,0.970525,0.962113,0.938724,0.821436,0.887871,1.22332,1.2333,1.09421,0.971885,1.40069,0.564089,1.04795,1.05317,1.0924,1.16194,1.66429,0.880436,1.2162,0.998846,1.20077,0.619026
404.02,0.967201,0.0847993,6,63,0,64.143,71.4683,19.0372,1.0281,0.872339,0.684589,1.10727,1.19065,0.971041,0.825434,1.37025,1.40816,0.889786,0.963633,0.872158,0.972549,1.12071,1.10088,1.20595,0.890038,1.03686,1.07045,0.930024,0.934341,0.732464,1.24092,1.02634,0.815139,1.10473,0.832425,0.820971,0.854446,0.993948,0.989309,0.780264,1.056,1.16994,1.44022,1.0272,1.61237,0.915906,1.3778,1.06316,1.03254,0.874133,1.56603,0.780041,1.3213,1.30379,0.953818,0.559297
401.55,0.855103,0.0847993,6,63,0,53.6265,45.8944,14.8248,0.962439,1.0052,0.78443,0.635112,0.853076,0.91964,0.663384,0.744996,0.773228,0.810208,0.813732,1.1333,0.755944,1.10688,0.883366,0.830651,0.948108,1.3305,1.04259,1.02684,1.10798,0.836976,0.958188,0.813897,1.00779,0.88156,1.40846,0.772406,0.941793,0.994281,0.815629,1.00879,1.24562,1.33484,1.13148,1.05208,1.19843,0.45789,0.886734,1.13779,0.982164,1.07874,1.10669,0.718686,0.97702,0.835477,1.1146,0.675504
398.655,0.996919,0.0847993,6,63,0,60.3644,68.297,22.2483,0.898957,0.843276,0.617619,1.18308,1.04439,1.18241,0.930277,1.33602,1.20024,0.960228,1.10522,0.947781,1.06603,1.16946,0.974518,1.39422,0.876489,1.50905,0.969105,0.940156,1.08379,0.788913,1.65425,1.094,0.85753,1.16311,0.748103,0.910847,0.915895,0.879644,1.12996,0.735559,1.21936,1.14267,1.06759,1.01409,1.46877,0.871649,1.62352,0.945835,1.37598,0.868897,1.51392,0.800783,0.84919,1.33957,0.794479,0.693727
399.609,0.771714,0.0847993,5,31,0,53.8199,58.7814,15.4096,0.802509,0.681473,0.630026,0.941609,1.0822,0.992567,0.729157,1.76134,1.32221,0.85065,1.41524,0.891686,0.889716,1.21086,0.88971,1.22006,0.874918,1.10823,1.06481,0.972634,0.969342,0.71572,1.1453,1.06436,0.749326,1.1703,0.851533,0.754425,1.01817,0.787738,1.05094,0.77098,1.08645,1.25786,1.2154,1.08136,1.31252,0.562937,0.987733,1.07914,1.11864,0.927906,1.69352,0.953266,1.07397,1.11709,0.886203,0.563417
